Date,DELL,Intel
2-Oct-00,29.5,45
1-Nov-00,19.25,38.06
1-Dec-00,17.44,30.06
2-Jan-01,26.12,37
1-Feb-01,21.87,28.56
1-Mar-01,25.69,26.31
2-Apr-01,26.24,30.91
1-May-01,24.36,27.01
1-Jun-01,26.15,29.25
2-Jul-01,26.93,29.81
1-Aug-01,21.38,27.96
4-Sep-01,18.53,20.44
1-Oct-01,23.98,24.42
1-Nov-01,27.93,32.66
3-Dec-01,27.18,31.45
2-Jan-02,27.49,35.04
1-Feb-02,24.69,28.55
1-Mar-02,26.11,30.41
1-Apr-02,26.34,28.61
1-May-02,26.85,27.62
3-Jun-02,26.14,18.27
1-Jul-02,24.93,18.79
1-Aug-02,26.62,16.67
3-Sep-02,23.51,13.89
1-Oct-02,28.61,17.3
1-Nov-02,28.6,20.88
2-Dec-02,26.74,15.57
2-Jan-03,23.86,15.66
3-Feb-03,26.96,17.25
3-Mar-03,27.31,16.28
1-Apr-03,28.98,18.4
1-May-03,31.37,20.82
2-Jun-03,31.84,20.81
1-Jul-03,33.68,24.89
1-Aug-03,32.62,28.59
2-Sep-03,33.42,27.52
1-Oct-03,36,32.95
3-Nov-03,34.57,33.54
1-Dec-03,33.98,32.05
2-Jan-04,33.44,30.52
2-Feb-04,32.65,29.2
1-Mar-04,33.62,27.2
1-Apr-04,34.78,25.73
3-May-04,35.24,28.55
1-Jun-04,35.82,27.6
1-Jul-04,35.47,24.38
2-Aug-04,34.84,21.29
1-Sep-04,35.6,20.06
1-Oct-04,35.06,22.26
1-Nov-04,40.52,22.38
1-Dec-04,42.14,23.39
3-Jan-05,41.76,22.45
1-Feb-05,40.09,23.99
1-Mar-05,38.42,23.23
1-Apr-05,34.83,23.52
2-May-05,39.93,26.96
1-Jun-05,39.46,26.02
1-Jul-05,40.47,27.14
1-Aug-05,35.6,25.72
1-Sep-05,34.2,24.65
3-Oct-05,31.88,23.5
1-Nov-05,30.15,26.68
1-Dec-05,29.95,24.96
3-Jan-06,29.31,21.26
1-Feb-06,29,20.6
1-Mar-06,29.76,19.46
3-Apr-06,26.2,19.98
1-May-06,25.38,18.02
1-Jun-06,24.46,19
3-Jul-06,21.68,18
1-Aug-06,22.55,19.57
1-Sep-06,22.84,20.57
2-Oct-06,24.33,21.34
1-Nov-06,27.24,21.4
1-Dec-06,25.09,20.25
3-Jan-07,26.93,21.92
